institution,state,long,lat,rating,total,curriculum,researching,campus_engagement,public_engagement,air,buildings,energy,food,planning,diversity,investment,wellbeing,endowment,area,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,climate,locale,low,monday,IPEDS.ID
Lafayette College,PA,-75.209786,40.69956,Silver,52.36,16.8,11.92,13.19,7.98,5.5,2.38,3.16,4.72,5.88,7.63,0,2.78,870742000,360,3279,7.78,NA,15515.33,0.22,19.72,15.33,25,6.82,49,5,Large town,Yes we host a number of low impact dining events including an annual Eat Local Challenge Earth Week and an annual National Farmworker Awareness Week. Through educational materials on each table and in signage throughout the café we share information about the benefits of prioritizing plant-based proteins for one’s health and the environment and offer plant-forward meals multiple times per week in each café.,NA,213385
Lane Community College,OR,-123.032644,44.009325,Silver,56.66,15.6,0,14.08,12.03,7.89,2.87,5.1,1.43,8.25,7.17,0.87,2.2,0,170.06,6354.28,5.3,7.91,4420.17,0.08,44.5,NA,NA,0.43,NA,4,Urban fringe of mid-size city,Meatless Mondays at all food stations.,NA,NA
Lawrence University,WI,-88.397822,44.261323,Silver,50.57,22.09,11.55,14.32,5.62,5.63,0,3.48,3.32,4.88,8.78,0,2.64,339800000,529,1876.25,10.1,1.09,12629.24,0.51,37.49,17.02,2.7,7.01,42.75,6,Mid-size city,Yes: Low carbon diet eat local challenge weigh the waste plant-forward grill etc.,NA,239017
Lebanon Valley College,PA,-76.514431,40.330604,Bronze,42.78,14.18,7.31,13.25,8.25,8.93,3.38,5.45,1.75,2,4.47,0,4.37,67380552,370,1969.25,4.4,49.31,9604.01,0.09,19.71,4.95,NA,1.03,NA,5,Small town,Working on adding Stealth Health menu items for Wednesday Wellness days.,Yes,213507
Lehigh University,PA,-75.380236,40.606822,Gold,65.79,27.02,12.04,17.41,13.03,6.21,3.9,3.8,4.16,7.13,8.56,0,3.76,1369900000,1600,7007.25,5.05,12.34,14384.14,0.34,47.7,5.75,20.3,6.02,31.3,6,Mid-size city,In addition to Meatless Mondays Lehigh University Dining hosts a variety of events throughout the year: World Food Day Zero Waste meals World Vegetarian Day during Earth Week during Recyclemania (now Campus Race to Zero Waste) to name a few.,NA,NA
Lewis University,IL,-88.079032,41.605432,Bronze,33.32,11.97,7.97,14.89,7.05,0.33,0.31,3.52,1.6,1,1.78,0,0.5,111860081,410,4188.75,0.38,NA,4132.5,0.11,50.21,3.33,63,5.29,NA,5,Mid-size city,Yes Sodexo hosts Meatless Mondays in which they will change their menu for that day.,NA,NA
Louisiana State University,LA,-91.178921,30.414986,Silver,47.76,21.45,15,14.56,6.24,6.02,1.04,0,2,6.25,5.38,0,1.95,502900000,1300,22257.25,7.79,NA,31281.88,0.39,42.09,43.38,NA,7.51,NA,2,Mid-size city,LSU Campus Sustainability has kicked off a Zero Waste Event program and LSU Dining is a fully engaged partner. All LSU Departments are encouraged to host Zero Waste events by coordinating with Sustainability and Dining. In April the first Zero Waste Event was held to demonstrate for organizations how to hold zero waste / low impact events.  Only compostable utensils plates and cups were used.  All food was prepared using the Hill Farm LSU garden and all food was composted using the black solider fly composting process.,Yes,NA
Loyola Marymount University,CA,-118.415744,33.97085,Gold,76.17,30.92,13.62,20.31,16.27,7.17,4,4.88,2.7,7.13,7.66,2.76,4.91,4.80E+08,142,8290.75,11.05,13.29,27.538,1.131,90.36,21.05,0.31,1.21,22.62,3,Large city,Periodically throughout the semester (typically 3-4 times) we feature a Meatless Monday event. During these events we showcase Meatless Options as well as educational materials that highlight the impact our dining choices have on the environment.  We partner with ASLMU and other groups to help advertise the event and the low impact choices guests have at the dining venues.,NA,NA
Loyola University Chicago,IL,-87.656872,42.000765,Gold,76.81,33.81,15.32,16.05,13.52,8.44,4.4,5.61,2.95,7.88,6.64,1.33,3.41,800316000,52.4,14984,25.75,23.77,7215.83,0.08,50.43,10.81,4.16,1.58,23.31,5,Large city,Students developed a 'No Impact Meal' program that is delivered to the Residence Halls. In this program sustainability interns work with the residence life staff to design a menu procure the materials cook the meal and oversee a program on intentional food (sometimes called 'slow food'). The program addresses the resources that went into the various meal elements and the money that actually makes its way to the primary producer (the farmer).,NA,NA
Luther College,IA,-91.802809,43.312304,Gold,72.17,34,16,17.5,12.85,5.5,2.28,4.34,2.74,7.75,7.96,2.04,1.91,169500000,969,2285.75,40.46,13.71,15596.89,0.31,48.6,47.93,13.9,6.05,NA,6,Small town,"Meat is limited to only one station on Mondays as a way to encourage decreased meat consumption but does not call our program \Meatless Mondays.\"" """,Yes,153834
Macalester College,MN,-93.168053,44.938565,Gold,74.86,32.07,14.11,18.08,12.56,5.95,3.23,3.92,2,8.5,8.66,3.12,3.67,725500000,54,2216.24,19.19,5.52,9520.47,0.21,66.77,13.25,NA,5.07,NA,6,Large city,When Bon Appétit started our Low Carbon Diet program in 2007 — making us the first restaurant company to connect food and climate change — it was with specific targets in mind for how much carbon emissions we wanted to lose over five years. And we did it meeting our goals and resulting in reductions of the equivalent of approximately 5 million pounds of carbon dioxide each month.,NA,173902
Massachusetts Institute of Technology,MA,-71.093226,42.359243,Gold,65.89,20.63,16.42,19.75,17.1,5.06,3.42,2.13,3.01,6.75,9.19,0,4.75,1.48E+10,168,18002.75,4.9,6.17,24488.39,0.28,44.48,15.93,19,9.35,NA,5,Urban fringe of large city,MIT Dining offers a number of low impact dining events including Earth Week and an Annual Farmworker Awareness Week.,Yes,NA
Medical University of South Carolina,SC,-79.947158,32.784363,Silver,45.79,16.12,6.09,19.04,17.84,0.5,0.95,0,2,2,5.41,1,2.72,809937293,446,30431.75,2.78,0,4429.94,0.16,20.51,1.27,NA,NA,NA,3,Mid-size city,NA,NA,NA
Metropolitan Community College Area,NE,-95.957829,41.310451,Bronze,31.69,12.07,0,10.75,6.71,3.44,2.56,3.11,2.07,5.13,4.81,0.5,2.96,1359125,197.22,6225,8.36,NA,4954.03,0.19,8.8,0,7.8,NA,NA,5,Large city,NA,NA,NA
Metropolitan State University of Denver,CO,-105.00504,39.744202,Silver,58.79,30.49,15.81,13.82,9.52,6.79,0.69,4.14,3.75,5.13,4.66,0,3.2,786425449,125,9592.75,21.77,NA,9983.16,0.17,20.51,30.58,10.98,NA,NA,5,Large city,NA,NA,NA
Miami University Hamilton,OH,-84.563385,39.377448,Gold,68.96,22.6,17,18.89,14.14,6.53,3.82,4.61,2.49,5.25,8.96,0.44,3.62,534685847,2325,17624.75,7.4,4.19,9199.24,0.15,33.4,28.24,11.5,NA,NA,5,Urban fringe of large city,NA,NA,NA
Michigan State University,MI,-84.476111,42.73212,Gold,70.85,34.02,15.85,18.22,17.19,4.81,3.15,2.33,2.12,5.5,8.71,0,4.59,2.90E+09,5199,46993.25,12.13,0.37,27179.29,0.57,78.27,18.46,2.17,8.73,NA,6,Urban fringe of mid-size city,"\Culinary Services works with several student groups and classes to promote sustainable efforts and events. 1. Student chapter of SLOW food does an event in partnership (menu attached). Several events hosted include: Ark of Taste. Promotion of a seed biodiversity project.Documentary screeningsVolunteering at farmsCooking classesSkill workshopsCommunity outreach and educationhttps://msugreenalliance.wordpress.com/orgs/orgslow-food/2.  HNF Dietetics plans events with the Culinary  around healthy and sustainable options. Students from this class are required to participate in volunteer hours at Clean Plates at State or at the Student Organic Farm. 3. \""\""Clean Ingredients\""\"" featured for allergies  menu attached. \""""",Yes,NA
Michigan Technological University,MI,-88.548092,47.11866,Silver,48.56,23.15,14,11.37,11.7,3.72,0,3.31,1.25,3,6.16,0,2.59,106400000,925,7205.49,6.61,11.74,10436.48,0.14,14.24,47.93,0,6.84,NA,7,Small town,NA,No,NA
Mills College,CA,-122.182294,37.781425,Silver,59.82,20.22,16,17.01,7.09,6.64,1.25,3.17,4.43,6.25,6.65,0.5,2.17,196400000,135,1373.25,4.09,0.15,17534.82,0.26,58.44,21.21,22.8,1.82,35.37,3,Large city,Yes we host a number of low impact dining events including an annual Eat Local Challenge Earth Week and an annual National Farmworker Awareness Week. Through educational materials on each table and in signage throughout the café we share information about the benefits of prioritizing plant-based proteins for one’s health and the environment and offer plant-forward meals multiple times per week in each café. We also offer Meatless Mondays at our main dining facility.,NA,118888
Missouri State University,MO,-93.281281,37.199258,Silver,59.7,30.37,13.29,14.19,13.16,2.67,2.25,2.72,2.25,7.75,7.05,0.5,1.75,8.10E+07,236,11578.25,17.28,0.4,9060.33,0.22,23.85,14.06,0.51,6.99,7.2,4,Mid-size city,In conjunction with the Residence Hall Association in the fall of 2013 we began Meatless Monday at Missouri State University. We provide entrée options that are free of meat at lunch in Blair-Shannon and in Garst at dinner on Mondays.,NA,NA
Montana State University,MT,-111.269558,47.485581,Silver,57.84,28.13,15.37,18.07,14.06,5.3,2.58,3.39,4.2,5.75,9.12,0.62,2.47,163630964,956,14137.89,12.94,0.04,11875.22,0.17,24.16,10.91,22.11,2.16,NA,6,Large town,The dining halls host a Farm to Campus dinner and a Montana Livestock Appreciation dinner each year. These dinners feature local food products from the university and the rest of the state to minimize food miles. Additionally each week we feature Montana Monday's in our retail operations where a featured lunch special highlights local products. During National Nutrition Month our operations also specifically highlight and feature alternative proteins and other healthy low impact foods.,Yes,NA
Muhlenberg College,PA,-75.508502,40.596416,Gold,68.84,18.13,10.29,3.75,8.89,5.43,2.04,3.14,2.75,6,6.66,0,2.33,278838000,184,2836.91,19.5,0.29,9192.59,0.29,15.57,15.67,30,5.56,NA,5,Urban fringe of mid-size city,Yes. Meatless Mondays are featured throughout the academic year.,Yes,214175
New Mexico State University,NM,-105.926241,32.92033,Bronze,40.09,26.88,14.14,16.3,15.51,6.35,3.34,3.22,2,6,8.46,0,3.15,175600000,425,11171.5,4.13,0.3,74934.22,0.18,24.17,6.37,0,4.29,31.65,3,Large town,Sodexo hosts weekly tabling regarding low impact food choices by highlighting menu options from its Mindful Mondays menu options. Weekly tablings also highlight the Wild Mushroom station which focuses solely on low impact dining in the form of vegetarian and vegan food options.,NA,NA
New York University,NY,-73.997264,40.729452,Gold,67.3,15.01,0,12.25,10.33,4.68,2.9,3.83,0,5.75,4.08,0,4.86,4.20E+09,40,58018.25,19.14,NA,9028.34,0.13,27.55,16.12,NA,2.32,NA,4,Large city,Every week NYU Eats participates in SuperFood Tuesdays which feature hearty and nutritious plant-forward dishes at the center of our menu options. This event is to highlight that nutritious meals can be made with plant-based ingredients. In honor of Stop Food Waste Day for the month of April NYU Eats draws attention to the global food waste epidemic and outlines impactful solutions through community engagement and activism. As a part of Stop Food Waste Day NYU Eats promotes the Clean Plate Challenge which features simple tips to reduce the amount of food wasted at each meal such as tasting food before taking a larger portion.,Yes,NA
North Orange County Community College District,CA,-117.945559,33.849957,Silver,47.53,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3297.75,7.37,0.14,2064.46,NA,NA,16.4,NA,NA,NA,4,Large town,NA,NA,NA
Northern Arizona University,AZ,-111.653724,35.188449,Gold,66.48,22.16,14.77,14.74,11.06,0.17,1.63,3.5,2,5.5,6.11,0,3.97,192600000,829,20930.5,8.44,5.77,7989.33,0.1,39.24,59.21,2.77,2.1,37.61,5,Mid-size city,We host farm to table events in both the fall and spring semesters promoting local organic and sustainably sourced foods.  We have promoted Meatless Mondays for several years and we’ve taken a plant-forward approach to menu planning in both of our resident dining halls on campus.  We also placed a strategic focus on plant-based foods in our renovation plans at the DuB Dining District (dining hall) positioning the “Plant Forward” station front and center as you enter the dining hall.,NA,NA
Northern Michigan University,MI,-87.406568,46.559751,Silver,50.27,37,15,15.09,10.5,5.25,1.25,5,3.88,4.38,4.98,2.75,3.96,15132477,356,6349,12.19,NA,8562.98,NA,NA,24.19,NA,5.29,NA,6,Large town,Northern Lights Dining our primary dining hall has partnered with students in demonstrations that aim to reduce food waste and promote composting through signage and assisting in sorting waste.  We’ve hosted Morningstar Farms and other vendors to conduct on-campus sample events of plant-based proteins.More than 30 NMU culinary professionals took part in the Forward Food Experience sponsored by the Humane Society of the United States which comprised of 16 hours of intensive training on plant-based diets. And as part of a campus-wide Sustainability Week NMU Dining has hosted Meatless Monday events.  Temaki World Asian Kitchen partners with Northern Vegans a community group to feature a vegan-only menu quarterly.Throughout the year NMU’s registered dietitian hosts a series of presentations on plant-based diets the impacts of bottled water sourcing food locally as well as others.,NA,NA
Northland College,WI,-90.87476,46.579087,Gold,65.37,19.99,14.33,13.05,12.32,6.9,1.25,6.67,2.47,3.62,7.42,0.25,2.48,33764586,315.99,631,20.1,0.89,5889.17,0.22,29.08,68.09,18.23,4.29,26.25,7,Small town,The cafeteria host multiple meatless days throughout the year--typically they are hosted on Wednesday and called Why Not Wednesday.,NA,239512
Northwestern University,IL,-87.679858,42.050356,Gold,66.33,25.26,9.57,16.75,12.85,5.31,4.4,4.07,3.39,6.88,8.56,2.54,4.01,1.09E+10,282,22794,4.29,11.83,92.75,0.28,41.1,4.75,3.96,8.2,38.46,5,Urban fringe of large city,Northwestern Dining has promoted plant forward and plant based meals through the 21-Day Plant Forward Challenge and has executed Plant Forward station take overs within the Northwestern dining commons.,NA,NA
Nova Southeastern University,FL,-80.24248,26.079337,Bronze,31.26,19.48,2.33,16.82,4.2,0,0.61,3.02,1.3,1.5,2.09,0,3.12,170700000,319,11588,15.48,NA,NA,0.24,9.29,NA,NA,5.29,NA,1,Urban fringe of mid-size city,Various Mondays throughout the semester will be chosen and we will host a meatless Monday option for students at Food Bar or Training bar location in the University Center Food Court.,NA,NA
Ohio University,OH,-83.002175,39.329404,Silver,59.94,25.68,10.48,16.45,9.6,6.91,1.33,3.43,2.67,7.38,6.63,1.05,3.62,572359473,2137.4,19027.25,1.91,NA,10978.25,0.24,57.99,5.99,0.24,NA,NA,5,Small town,NA,NA,NA
Oklahoma State University,OK,-97.069743,36.123085,Silver,51.92,20.76,8.71,13.18,10.92,6.44,1.59,5.36,2.74,3.25,8.2,0,1.79,794806218,680,15725.36,12.58,26.28,18549.68,0.24,24,10.59,14,4.93,NA,3,Large town,1) Free cooking classes for students and staff include vegetarian meals such as Three Bean Chili and are followed by sharing the meal and recipe. 2) We feature local produce grown in Oklahoma via a program called Farm Fresh. The first week of each month a fruit or vegetable is showcased across campus at nutrition awareness tables with free product samples creative recipes and nutritional information which create an interest in trying the food. The item is utilized in a variety of menu options across campus for the month.  3) We host an annual MIO Fair (vendors in the Made In Oklahoma program showcase their products and give samples to participants).We also feature Made in Oklahoma products monthly. This gives students a chance to meet local food vendors and sample their products. The goal is to increase awareness of the importance of buying locally produced products.,NA,NA
Oregon State University,OR,-123.274723,44.56395,Gold,74.29,29.74,16.32,16.76,15.95,5.74,3.16,4.91,3.49,8.5,7.94,2.72,4.59,614907078,16894,21469.8,27.75,2.42,9446.73,0.16,45.53,44.85,10.28,4.76,29.15,4,Mid-size city,UHDS hosts a monthly Harvest of the Month event featuring local produce in all the dining units.,NA,NA
Pennsylvania State University,PA,-76.67408,40.264245,Gold,74.49,29.3,18,16.03,18.58,5.71,4.17,3.91,2.58,8.38,8.09,0.84,4.81,3108100000,8703,49342.25,4.4,2.6,13676.69,0.29,57.37,19.31,0.48,5.48,18.32,6,Mid-size city,Annual PA/local meal takes place in the fall to highlight local agriculture. Signage on salad bars and buffet lines denotes when produce in meals comes from our Student Farm. The Registered Dietitian's Office curates an Instagram account posting daily stories of examples of balanced meals from the dining hall often highlighting and encouraging plant-based options.,NA,NA
Pitzer College,CA,-117.706675,34.104107,Silver,52.64,28.21,10.73,15.3,7.96,3.41,3.71,1.84,1.88,4.38,3.14,1.78,3.76,134289425,31,1153,25.91,7.63,22698.43,0.28,33.33,8.4,NA,2.33,NA,2,Urban fringe of large city,we have Meatless Mondays but everyday a low impact option is available Mondays they are all meatless,NA,121257
Portland Community College,OR,-122.730876,45.438154,Silver,62.98,23.08,0,15.97,10.49,7.23,2.25,6.06,2,7.13,4.44,1,3.59,3799341,357.76,16197.04,10.03,32.66,4007.34,0.1,24.26,NA,NA,0.56,NA,4,Large city,Meatless Monday Kickoff educates students staff and faculty about how reducing the amount of meat you eat can can be tasty and beneficial to the planet. This is a collaboration between Student Leadership (ASPCC) and Food Services.,NA,NA
Portland State University,OR,-122.686289,45.511601,Gold,74.78,31.75,18,16.11,16.51,5.97,3.99,4.01,3.28,6.63,8.56,0.75,4.12,80300000,50,15172.25,11.34,0.3,4916.01,0.18,48.81,28.3,4.91,1.29,32.7,4,Large city,FYUL Plant-fueled Monday's with a primarily plant based menu with only one station serving meat.Food-waste reduction themed screenings and networking events; catering services regularly provides sustainable seasonal local plant-based dining options with compostable dining ware world Vegan Day,NA,NA
Pratt Institute Main,NY,-73.96431,40.691297,Silver,55.07,15.68,12.94,10.29,9.68,2.87,2.01,4.76,2.29,5.63,6.56,0,2.42,226518919,25,4807,17.56,NA,5368.4,0.27,31.41,68.89,1,NA,NA,4,Large city,NA,NA,NA
Princeton University,NJ,-74.659365,40.348732,Gold,65.52,26.61,16,11.54,8.46,5.62,1.25,3.46,1.6,6.13,6.89,0,3.48,2.34E+10,500,13291.5,8.24,0,16308.32,0.39,45.27,34.6,9,7.36,NA,6,Small town,We host events such as Flexitarian Nights in dining halls as well as Teaching Kitchens featuring local and seasonal items Wellness Tables – both in person and via social media -- that highlight healthy and sustainable food options such as overnight oats and cauliflower pizza. At some meals students in the campus Greening Dining group have a table with fun facts and surveys related to sustainable dining.Forbes College hosted a Flexitarian Night menu at dinner on November 8 2017featuring:Rigatoni with Brussels Sprouts Lemon & LeeksKale Mushrooms & Rice Bowl with Tomato JamButternut Squash & Black Bean TacoRed Curry Thai TofuBucatini with Swiss Chard & Garlic Bread CrumbsPotato & Cauliflower MasalaChia Seed Pudding & Acai Smoothie Cups,Yes,NA
Principia College,IL,-90.350285,38.948835,Silver,61.51,21.1,16.64,14.15,14.84,5.73,3.25,3.59,2.48,5.25,8.72,3.58,1.6,6.28E+08,2600,661,11.66,45.19,40409.66,0.43,46.71,NA,NA,4.16,NA,5,Rural,"Vegetarian or vegan in-house catering is available. \Pollinator Dinners\"" are a popular feature of Sustainability Weekend in October. This event celebrates the importance of pollinators; each dish is labeled as to the pollinators who provided it to us (e.g. Broccoli/ Carrots/ Tomatoes: Honey Bees & Solitary Bees; Apples: Honey Bees Bumblebees Solitary Bees & Hover Flies; and so on for dozens of foods). In April Dining Services provides an all-campus vegetarian lunch for the Earth Day Fair. Dining Services boasts 100% pre- and post-consumer composting for all events and sources 100% renewable electric power.""",Yes,148016
Radford University,VA,-80.549728,37.136907,Silver,50.18,26.92,4,18.62,6.97,9.3,0.6,5.02,2,5,6.45,0,2.93,50346509,204,8473.25,4.61,0.41,6797.31,0.16,31.85,22.37,NA,3.82,NA,4,Mid-size city,Annually Dining Services plans to host a “Stop Food Waste” event in the Spring 2019 academic semester. Events may include food waste audits activities for students and rewards for students who didn’t waste any food during their meals. In April 2019 Dining Services will host an event in Dalton Kitchen to celebrate the nationwide Stop Food Waste Day. During the week leading up to this event Dining Services and Radford Sustainability have historically conducted food waste audits information fairs about Food Recovery Network and posted additional signage about food waste in dining areas and around campus.,Yes,NA
Raritan Valley Community College,NJ,-74.688127,40.609681,Silver,59.69,18.04,11.45,15.25,9.25,3.38,4.26,2.38,1.75,5.25,4.7,0,2.12,0,240,4324.5,12.79,47.44,1982.73,0.11,39.29,NA,3,0,NA,5,Small town,For sustainable events such as Earth Week events and sustainability-related conferences/seminars Culinart provides vegan-only dishes often specially developed for the event. They will work with the event organizer to provide only compostable paper items and compostable utensils and not offer bottled water or other beverages in plastic bottles.,Yes,NA
Rochester Institute of Technology,NY,-77.67386,43.084188,Silver,60.66,20.26,0,10.25,12.95,10.25,2.62,4.53,2.12,3.75,6.67,0,2.16,761900000,1235.98,14644.5,8.93,7.21,12508.72,0.21,43.82,25.89,NA,2.15,NA,5,Urban fringe of mid-size city,NA,No,NA
Saint Louis University,MO,-90.2351,38.636801,Bronze,34.71,9.75,5.94,12.5,8.54,3.04,0,2.53,2,2.5,7.88,0,2,1146590385,281,11044.5,0.08,0.12,23061.65,0.33,31.79,3.77,NA,11.12,NA,4,Large city,During Weigh the Waste events signage announces the event and students keep track of how much food waste is created within a period of time to raise awareness on impact students can make on the environment. (i.e. lunch 11-1:30). We also have trayless dining in residents halls and retail locations which serves to decrease water and energy consumption on campus.,Yes,NA
San Diego State University,CA,-117.071228,32.77525,Gold,69.33,30.92,13.72,20.05,14.56,5.92,2.7,2.03,2,6.75,9.18,0,3.77,3.02E+08,9283,28784,17.7,0.61,6017.22,0.12,36.58,12.36,NA,1.63,NA,3,Large city,NA,No,NA
San Francisco State University,CA,-122.476799,37.721224,Silver,58.92,16.25,8.52,13.85,10.49,6.4,4.25,5.57,2,5.5,8.83,2.73,1.92,51200000,141.61,21958.28,2.65,0.88,3406.4,0.23,66.7,13.43,0,0.71,NA,3,Urban fringe of large city,Sodexo hosts a Green Monday event every month to promote less meat consumption.  This campaign asks students to pledge to eat vegetarian or vegan once a day during the week.  A tabling team recruits students to sign a physical pledge that is then posted onto the dining center walls.  An additional vegetarian or vegan option is served at every single one of our 4 other stations to provide a greater range of vegan and vegetarian options.,Yes,NA
San Jose State University,CA,-121.880621,37.336569,Gold,71.91,36.77,15.41,17.89,14.81,5.66,2.98,3.14,1.8,4.13,8.33,1.46,1.68,159291856,167,22754.5,32.25,0.13,2960.21,0.29,76.74,13.02,NA,1.41,NA,3,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Santa Clara University,CA,-121.93784,37.348362,Gold,79.45,34.44,18,17.14,18.72,8.26,3.25,5.42,4.11,6.88,8.56,2.16,5.58,1019760000,118.92,7384.25,27.46,38.59,10181.43,0.29,69.99,19.8,20.68,1.03,29.12,3,Urban fringe of large city,"Dining Services by Bon Appetit hosts an annual \Low Carbon Diet Day\"" where specials feature menu items with a lower climate impact and Earth Day celebrations where educational materials and/or activities focused on the environmental impact of food choices are placed throughout the cafe. Vegetarian options are available at all dining cafes as well.""",NA,NA
Santa Rosa Junior College,CA,-122.718974,38.45709,Bronze,35.4,8.86,0,6.5,6.86,5.87,2.68,3.51,1.25,6,7.5,0.51,2.16,47900000,529.94,14147.93,2.93,1.88,3358.32,0.08,35.16,16.4,NA,0.44,NA,3,Mid-size city,NA,No,NA
Seattle Central College,WA,-122.321231,47.616748,Silver,49.64,16.92,0,7.74,6.55,5.22,2,3.58,3.85,7.25,6.32,0,2.75,8853098,13,4193.78,9.49,0.33,346.22,0.1,54.61,NA,12.05,0.53,50.76,4,Large city,n/a,NA,NA
Seattle University,WA,-122.318851,47.608859,Gold,79.39,39.26,15.06,15.13,13.91,7.76,4.1,3.77,3.4,7.88,7.02,2.51,4.98,234341000,50,6780.75,34.53,0.02,4929.1,0.29,71.4,22.56,15.32,0.47,22.59,4,Large city,"Throughout the year Redhawk Dining focuses on many low impact eating habits and events. Examples:--Our Thrive without 9 menu features vegetables & other sides like starches as the center of the plate with a smaller emphasis and size of the traditional animal proteins. --Each year we host a \Stop Food Waste\"" day that measures and shows Redhawks how much food waste they are creating as whole. --Each of our Teaching Kitchens focuses on sustainable cooking tips tricks as well as local ingredients and how buying local doesn’t just impact local owners but helps our planet! --A recent example of a low-impact dining event: Celebration of National Vegetarian Day in October 2020 with a complete plant-based menu for lunch & dinner.""",NA,NA
Siena Heights University,MI,-84.018841,41.905624,Bronze,28.95,11.04,5.72,8.51,4.53,0.5,1.47,3,1.75,1.75,4.75,0.33,3.69,10900000,64.24,1123,1.68,0,5440.3,0.04,50.25,6.9,NA,7.58,NA,5,Small town,NA,No,NA
Slippery Rock University of Pennsylvania,PA,-80.045965,41.062719,Silver,55.24,20.45,10.73,16.07,9.63,7.52,1,5.23,2,5,5.87,0,4.2,33551842,660,7623.25,7.78,17.34,8242.36,0.12,33.69,23.46,NA,NA,NA,5,Small town,NA,NA,NA
Soka University of America,CA,-117.735344,33.554546,Silver,50.71,23.88,16,12.86,8.75,5.31,0,3.1,1.95,2.5,5.28,0,3.63,1.20E+09,103,616,20.9,0.78,42166.68,1.07,65.15,35.71,6,7.64,NA,3,Urban fringe of large city,NA,No,399911
Sonoma State University,CA,-122.677066,38.340274,Silver,50.52,19.17,13.53,15.36,9.78,6.31,2.25,2.87,1.6,5.13,7.92,0.5,1.26,37100000,269,8179.35,5.04,11.94,8197.03,0.14,52.2,67.65,NA,1.12,NA,4,Mid-size city,NA,NA,NA
South Dakota State University,SD,-96.782139,44.317485,Silver,55.78,24.45,17,13.04,14.32,2.37,1.48,2.83,2.57,5.5,6.49,0,1.82,132700000,502.77,9934.25,4.29,0.01,10128.19,0.38,14.03,49.25,10.81,6.08,NA,6,Small town,In celebration of Earth Day Larson Commons ran a limited time offer called “Earth Day Veggie Creations.” It featured a variety of chef inspired plant forward recipes.,Yes,NA
South Seattle College,WA,-122.352672,47.5475,Silver,51.07,20.78,0,8.37,7,5.7,2.5,2.71,2.62,6.5,7.87,0,3.16,2.60E+07,98.4,3296.85,12.94,0.05,4135.23,0.08,69.29,NA,3.86,0.3,32.98,4,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Southern Illinois University Carbondale,IL,-89.217273,37.714193,Silver,53.85,23.18,14,14.58,12.49,3.47,1.45,3.37,1.25,2.75,7.51,0.74,2.34,145207941,8622,9162,12.41,0.01,22689.13,0.21,17.55,31.75,NA,15.78,NA,4,Large town,NA,No,NA
Southern New Hampshire University,NH,-71.451842,43.038922,Bronze,30.46,14.98,2,4,5.2,4.42,0.17,5.22,1.38,1.75,3.83,0,3.94,36894940,329,6322,3.71,50.17,4094.71,0.11,37.49,0,NA,1.17,NA,5,Mid-size city,Within each limited time offer (LTO) option as well as part of the standard menu meatless and vegetarian options are highlighted and focused on each day.,Yes,NA
Southern Oregon University,OR,-122.695081,42.185077,Silver,56.15,22.82,9.09,16.25,9.54,5.57,1.04,4.99,2.14,4.75,8.09,0,3.46,32400000,180,3710.75,13.35,1.35,6740.98,0.22,55.69,9.09,4.82,1.81,NA,4,Rural,SOU Dining hosted its first Meatless Monday during Earth Week of 2017. Since then SOU Dining has offered one Meatless Monday each quarter where the main stations in SOU's primary dining hall have only meatless options available for lunch and dinner. SOU Dining is considering options to expand Meatless Monday by hosting it more frequently.,Yes,NA
Southwestern University,TX,-97.665738,30.634341,Bronze,38.93,21.78,12.78,8.24,9.09,0,0.98,3.99,1.63,2,5.67,0,1.39,267300000,710,1722.5,7.07,48.64,23797.65,1.81,7,21.18,NA,7.58,NA,2,Urban fringe of mid-size city,Meatless Mondays formally became a part of dining services in Fall 2015.,Yes,228343
Stanford University,CA,-122.167359,37.429434,Platinum,88,38.2,17,20.5,18.85,9.02,3.73,7.37,3.67,7.25,9.87,2.33,6.07,2.65E+10,8180,26944.5,18.76,55.74,19403.42,0.65,60.68,18.92,24,2.43,NA,3,Urban fringe of large city,R&DE continues to run the Teaching Kitchen @ Stanford a groundbreaking cooking education program available to the Stanford University community. The 9-week hands-on cooking classes have sustainability information woven into the curriculum with a focus on vegan and vegetarian dishes. The students visit the organic teaching garden and use produce in their cooking lessons from the garden.,Yes,NA
State University of New York at New Paltz,NY,-74.082188,41.740936,Silver,53.78,0,0,0,0,0,0,0,0,0,0,0,0,20380337,209.7,6843.5,6.47,0.15,NA,0.17,35.24,12.37,NA,3.2,NA,6,Small town,NA,No,NA
