institution,endowment,area,climate,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,locale,low,monday,budget
Radford University,50346509,204,4,8473.25,4.61,0.41,6797.31,0.16,31.85,22.37,NA,3.82,NA,Mid-size city,Annually Dining Services plans to host a “Stop Food Waste” event in the Spring 2019 academic semester. Events may include food waste audits activities for students and rewards for students who didn’t waste any food during their meals. In April 2019 Dining Services will host an event in Dalton Kitchen to celebrate the nationwide Stop Food Waste Day. During the week leading up to this event Dining Services and Radford Sustainability have historically conducted food waste audits information fairs about Food Recovery Network and posted additional signage about food waste in dining areas and around campus. ,Yes,NA
Raritan Valley Community College,0,240,5,4324.5,12.79,47.44,1982.73,0.11,39.29,NA,3,0,NA,Small town,For sustainable events such as Earth Week events and sustainability-related conferences/seminars Culinart provides vegan-only dishes often specially developed for the event. They will work with the event organizer to provide only compostable paper items and compostable utensils and not offer bottled water or other beverages in plastic bottles.,Yes,NA
Rochester Institute of Technology,761900000,1235.98,5,14644.5,8.93,7.21,12508.72,0.21,43.82,25.89,NA,2.15,NA,Urban fringe of mid-size city,,No,NA
Saint Louis University,1146590385,281,4,11044.5,0.08,0.12,23061.65,0.33,31.79,3.77,NA,11.12,NA,Large city,During Weigh the Waste events signage announces the event and students keep track of how much food waste is created within a period of time to raise awareness on impact students can make on the environment. (i.e. lunch 11-1:30). We also have trayless dining in residents halls and retail locations which serves to decrease water and energy consumption on campus. ,Yes,NA
San Diego State University,3.02E+08,9283,3,28784,17.7,0.61,6017.22,0.12,36.58,12.36,NA,1.63,NA,Large city,,No,NA
San Francisco State University,51200000,141.61,3,21958.28,2.65,0.88,3406.4,0.23,66.7,13.43,0,0.71,NA,Urban fringe of large city,Sodexo hosts a Green Monday event every month to promote less meat consumption.  This campaign asks students to pledge to eat vegetarian or vegan once a day during the week.  A tabling team recruits students to sign a physical pledge that is then posted onto the dining center walls.  An additional vegetarian or vegan option is served at every single one of our 4 other stations to provide a greater range of vegan and vegetarian options.,Yes,NA
San Jose State University,159291856,167,3,22754.5,32.25,0.13,2960.21,0.29,76.74,13.02,NA,1.41,NA,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Santa Clara University,1019760000,118.92,3,7384.25,27.46,38.59,10181.43,0.29,69.99,19.8,20.68,1.03,29.12,Urban fringe of large city,"Dining Services by Bon Appetit hosts an annual \Low Carbon Diet Day\"" where specials feature menu items with a lower climate impact and Earth Day celebrations where educational materials and/or activities focused on the environmental impact of food choices are placed throughout the cafe. Vegetarian options are available at all dining cafes as well.""",NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Santa Rosa Junior College,47900000,529.94,3,14147.93,2.93,1.88,3358.32,0.08,35.16,16.4,NA,0.44,NA,Mid-size city,,No,NA
Seattle Central College,8853098,13,4,4193.78,9.49,0.33,346.22,0.1,54.61,NA,12.05,0.53,50.76,Large city,n/a,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Seattle University,234341000,50,4,6780.75,34.53,0.02,4929.1,0.29,71.4,22.56,15.32,0.47,22.59,Large city,"Throughout the year Redhawk Dining focuses on many low impact eating habits and events. Examples:--Our Thrive without 9 menu features vegetables & other sides like starches as the center of the plate with a smaller emphasis and size of the traditional animal proteins. --Each year we host a \Stop Food Waste\"" day that measures and shows Redhawks how much food waste they are creating as whole. --Each of our Teaching Kitchens focuses on sustainable cooking tips tricks as well as local ingredients and how buying local doesn’t just impact local owners but helps our planet! --A recent example of a low-impact dining event: Celebration of National Vegetarian Day in October 2020 with a complete plant-based menu for lunch & dinner.""",NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Siena Heights University,10900000,64.24,5,1123,1.68,0,5440.3,0.04,50.25,6.9,NA,7.58,NA,Small town,,No,NA
Slippery Rock University of Pennsylvania,33551842,660,5,7623.25,7.78,17.34,8242.36,0.12,33.69,23.46,NA,NA,NA,Small town,,NA,NA
Soka University of America,1.20E+09,103,3,616,20.9,0.78,42166.68,1.07,65.15,35.71,6,7.64,NA,Urban fringe of large city,,No,NA
Sonoma State University,37100000,269,4,8179.35,5.04,11.94,8197.03,0.14,52.2,67.65,NA,1.12,NA,Mid-size city,,NA,NA
South Dakota State University,132700000,502.77,6,9934.25,4.29,0.01,10128.19,0.38,14.03,49.25,10.81,6.08,NA,Small town,In celebration of Earth Day Larson Commons ran a limited time offer called “Earth Day Veggie Creations.” It featured a variety of chef inspired plant forward recipes.,Yes,NA
South Seattle College,2.60E+07,98.4,4,3296.85,12.94,0.05,4135.23,0.08,69.29,NA,3.86,0.3,32.98,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Southern Illinois University Carbondale,145207941,8622,4,9162,12.41,0.01,22689.13,0.21,17.55,31.75,NA,15.78,NA,Large town,,No,NA
Southern New Hampshire University,36894940,329,5,6322,3.71,50.17,4094.71,0.11,37.49,0,NA,1.17,NA,Mid-size city,Within each limited time offer (LTO) option as well as part of the standard menu meatless and vegetarian options are highlighted and focused on each day.,Yes,NA
Southern Oregon University,32400000,180,4,3710.75,13.35,1.35,6740.98,0.22,55.69,9.09,4.82,1.81,NA,Rural,SOU Dining hosted its first Meatless Monday during Earth Week of 2017. Since then SOU Dining has offered one Meatless Monday each quarter where the main stations in SOU's primary dining hall have only meatless options available for lunch and dinner. SOU Dining is considering options to expand Meatless Monday by hosting it more frequently.,Yes,NA
Southwestern University,267300000,710,2,1722.5,7.07,48.64,23797.65,1.81,7,21.18,NA,7.58,NA,Urban fringe of mid-size city,Meatless Mondays formally became a part of dining services in Fall 2015.,Yes,NA
Stanford University,2.65E+10,8180,3,26944.5,18.76,55.74,19403.42,0.65,60.68,18.92,24,2.43,NA,Urban fringe of large city,R&DE continues to run the Teaching Kitchen @ Stanford a groundbreaking cooking education program available to the Stanford University community. The 9-week hands-on cooking classes have sustainability information woven into the curriculum with a focus on vegan and vegetarian dishes. The students visit the organic teaching garden and use produce in their cooking lessons from the garden. ,Yes,NA
State University of New York at New Paltz,20380337,209.7,6,6843.5,6.47,0.15,,0.17,35.24,12.37,NA,3.2,NA,Small town,,No,NA
Stevens Institute of Technology,2.24E+08,55,4,5806.75,12.09,44.57,6116.1,0.35,33.18,24.72,19.2,0.74,15.25,Mid-size city,Meatless Mondays Ancient Grains Station (fully plant based proteins) Beyond Meat specials Allergen Friendly Room (meatless chicken nuggets etc),NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Susquehanna University,166588189,322,5,2571.84,8.68,34.39,,0.25,8.47,15.66,2.05,1.93,17.24,Small town,Vegan options are available at every meal. The vegan dining station is front and center when you first walk into the cafeteria's food service area. A rotating selection of vegan meals are offered there and diverse plant-based proteins in an array of styles and tastes are available to all students. Throughout the year vegan foods are highlighted such a hummus plant based specialty burgers and a plant forward lunch which provided limited animal-based proteins.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Swarthmore College,2131553000,423,4,2320.5,7.96,30.81,13963.8,0.44,51.17,24.42,0,2.56,0,Urban fringe of large city,The most widely promoted low impact dining event by the College's Dining Services is the annual Harvest Dinner which sources all products from local vendors. ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Syracuse University,1.16E+09,950,4,18738.75,9.66,35.46,18437.04,0.34,46.17,15.7,NA,4.72,NA,Mid-size city,Food services works with the SU Health and Wellness department and hosts Meatless Mondays. They also host a Local Foods theme dinner in the five dining centers for Campus Sustainability Month in October. The food for this event is a local within 250 miles or 500 miles for meat and all New York state food products are served including proteins vegetables desserts starches fruit and beverages.,Yes,NA
Temple University,615352000,351.3,4,33839.25,5.23,2.65,9147.33,0.18,40.38,7.92,2.57,3.26,NA,Large city,The university hosts Meatless Mondays at residents dining halls.,Yes,NA
Tennessee Technological University,71287380,1162,4,7742.86,6.39,0.66,7813.42,0.16,19.55,45.22,1,4.76,NA,Large town,TN Tech Dining has a two week campaign called Stop Food Waste Program. It is to encourage students to reduce the amount of food they waste. We track TN Tech's food waste for these two weeks and students are rewarded for clean plates.,Yes,NA
Texas Tech University,102469138.2,1856.6,4,32119.25,5.38,0.01,6359.61,0.13,14.89,2.07,NA,5.29,NA,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
The New School,368028000,,4,8817.75,10.92,56.48,,,47.9,11.83,23.8,0.43,NA,Large city,'Meatless Mondays',Yes,NA
The University of Texas at Austin,25947842000,917,4,46674.75,10.17,NA,11589574.46,0.18,42.37,17.17,0.85,NA,NA,Large city,,NA,NA
The University of Texas at Dallas,532100000,445,3,21712,7,0.55,8569.73,0.12,30.36,26.49,NA,3.43,NA,Urban fringe of large city,"In Fall 2018 The University of Texas at Dallas became the first public university in Texas to join Meatless Monday an international campaign promoting health and sustainability throughout college campuses around the world. A partnership between Student Government and Dining Services this project aims to bring awareness about healthy living not just for students but also the environment. With meat production contributing significantly to the environmental challenges our world faces today we hope Meatless Monday will encourage students to reduce meat consumption on at least one day out of the week. From \Teaching Kitchens\"" (cooking demonstrations headed by UTD's Executive Chef) to an online pledge system Student Government and Dining Services strive to keep health and sustainability in the minds of the student population.""",Yes,NA
The University of Texas at San Antonio,171801294.2,735,2,21887.75,3.44,NA,,0.03,80.65,19.41,NA,NA,NA,Large city,,NA,NA
The University of Virginia's College at Wise,9.90E+09,1230,4,32054.75,6.66,NA,14818.4,0.36,30.44,8.89,3.55,NA,NA,Urban fringe of mid-size city,,NA,NA
Tufts University,1774579212,758,5,11885.25,4.59,0.01,10113.29,0.29,55.44,14.59,7.1,3.64,NA,Urban fringe of large city,Menus of Change,Yes,NA
Unity College,14680667,429,6,748.25,58.54,29.81,4933.67,0.24,48.58,100,8,1.15,NA,Rural,In the Fall Unity hosts a hyper local harvest dinner with a large percentage of the food coming from the campus farm or local farmers in the surrounding county which cuts down on emissions from transportation and celebrates foods that can be produced locally.,Yes,NA
University at Buffalo,7.20E+08,1242,5,28026.5,11.25,54.86,11895.45,0.16,42.89,22.38,0.48,1.54,NA,Urban fringe of large city,The 'Clean Platters' and 'Waste Less' events are a couple examples of UB low impact dining initiatives on campus. We also have an ugly vegetable and produce event to show students that Quality B foods are still good to eat ,Yes,NA
University of Alabama at Birmingham,495300000,503,3,26692.25,1.19,0.01,28251.86,0.1,25.77,47.1,NA,14.12,NA,Mid-size city,"UAB Campus Dining encourages students to participate in “Meatless Monday” emphasizing the health and environmental importance of cutting consumption of meats like beef pork and chicken. On Mondays the main dining line (\Classics\"" line) in the largest dining facility highlights vegetarian and plant-based proteins and offers no animal products. """,Yes,NA
University of Alabama in Huntsville,7.60E+07,505,3,5438.75,3.13,NA,11812.62,0.69,3.54,3.31,NA,7.58,NA,Mid-size city,,No,NA
University of California Berkeley,4.90E+09,1232,3,45407.5,46.99,NA,12860.77,0.16,52.72,24.81,14.17,NA,NA,Mid-size city,,NA,NA
University of California Davis,494769996,5278,3,37051,11.85,NA,15471.93,0.59,68.81,35.34,12.22,NA,NA,Large town,,NA,NA
University of California Irvine,1.50E+10,1475,3,32178.25,48.79,NA,10320.16,0.24,75.61,32.05,11.01,NA,NA,Mid-size city,,NA,NA
University of California Los Angeles,3.40E+09,419,3,63088.25,5.34,NA,14393.66,0.31,57.06,17.55,4.8,NA,NA,Large city,,NA,NA
University of California Merced,38592000,274,3,7683.25,22.71,35.06,12004.04,0.09,43.42,88.17,21,NA,NA,Large town,,NA,NA
University of California Riverside,202090135,1107.31,3,23312.83,2.16,NA,15248.05,0.18,57.34,16.41,5.23,NA,NA,Large city,,NA,NA
University of California San Diego,2.30E+09,1158,3,45413.5,16.94,NA,12421.99,0.14,37.28,17.77,12.49,NA,NA,Urban fringe of large city,,NA,NA
University of California Santa Barbara,439618648.8,1127,3,21673,5.85,NA,9578.55,0.26,65.72,20.06,19.56,NA,NA,Urban fringe of mid-size city,,NA,NA
University of California Santa Cruz,190121000,2038.8,3,20028.5,18.83,5.28,8594.25,0.22,59.8,45.63,NA,NA,NA,Rural,,NA,NA
University of Central Florida,164700000,1415.1,2,37643.2,2.54,0.71,7047.25,0.04,39.46,4.19,NA,1.86,NA,Urban fringe of large city,Dining Services does not currently host a Meatless Monday event. However they do offer diverse daily meatless offerings at both dining halls.  Dining Services hosted the Vegan Showcase with Chef Johnny Rivers that featured plant-based options.,NA,NA
University of Cincinnati Blue Ash College,1.45E+09,425,4,30030,7.62,NA,10947.02,0.2,13.51,9.15,7.6,NA,NA,Large city,,NA,NA
University of Colorado Boulder,937500000,597,6,25178.25,25.21,NA,11743.94,0.24,46.06,14.49,16.45,4.93,NA,Large town,Campus Dining Services hosts many low impact dining events throughout the year. A list and brief explanation of these is provided below.  The low impact dining approach to customer education at CDS is to promote plant forward diets and reduce food waste.  CDS Marketing and Communications utilizes napkin dispenser inserts digital signage and social media to promote sustainable dining. Local procurement is highlighted in the Featured Produce of the Month events Harvest Meal (campus wide) and other special events such as Taste of CU. DISH – This is our overall dining campaign which promotes Delicious foods produced in Innovative and Sustainable ways with Healthy diets in mind.  This campaign is used throughout all sustainability events and we utilize branded marketing materials to bring familiarity with our campaign throughout the year for our customers.The DISH – This is our customer forum which complements our campaign.  Once a month throughout each semester we hold a one-hour event that engages open discussion with our Sustainability Manager and our Registered Dietician along with various guests with expertise on our various topics.  Each forum focuses on a different letter of our campaign covering all of DISH each semester. These are very popular and are a unique opportunity for us to engage with the students at a time in life where they are gaining independence and forming their dietary and sustainable habits.  Events include but are not limited to starting a seed pot for your garden building a well balance protein bowl and taking a tour of our newest dining center focusing on the aspects that helped achieve LEED platinum certification.,Yes,NA
University of Colorado Colorado Springs,70800000,549,5,8680.75,8.85,0.9,5893.99,0.07,51.32,10.81,8.82,2.52,1.91,Large city,The Roaring Fork Dining Hall and the Lodge Dining Hall both have Market Fresh stations. The Market Fresh platforms focus on meatless and allergen free dishes. The dining halls promote protein dense plant forward dishes as part of the Menus of Change program.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
University of Connecticut,462800000,3320,5,22123.11,17.84,1.68,12413.13,0.24,48.42,56.3,49.33,4.59,NA,Rural,Every April the Department of Dining Services hosts a Zero-Waste Barbeque as part of UConn’s Earth Day Spring Fling celebration. The barbeque features vegan burgers and “salad on a stick.”  No utensils are needed all plates are reusable and all napkins are compostable.  There are several waste stations manned by volunteers to direct students to compost correctly.,Yes,NA
University of Dayton,567311000,358,5,11147.25,17.45,0.53,10418.88,0.32,56.42,16.74,2.95,6.21,NA,Mid-size city,Beginning in 2019 the chef at VWK hosts tastings to introduce students to plant-based diets.Other events include: - locally-sourced ingredients for meals and snacks at the 2018 biennial Social Practice of Human Rights hosted at UD.- locally-sourced snacks at 2018 Reunion Weekend- two zero-waste events in 2018: CultureFest and the all-employee picnic,Yes,NA
University of Delaware,1663508000,1996,4,21493.75,1.64,0,11786.21,0.17,34.17,NA,NA,4.63,NA,Large town,present limited time offers with focus use of plant forward items.  Program also includes -Fit Friday Farm to Table Tuesday,Yes,NA
University of Florida,1.73E+09,1955.2,2,50374.75,3.16,0.05,15657.65,0.3,40.15,7.93,5.99,5.93,NA,Large town,Fresh from Florida FridaysOn Friday we feature a unique Fresh from Florida produce item at both our dining halls. These items allow our diners to experience a wider variety of Florida-grown produce beyond our staple items.  Some examples include aquaponic-grown romaine lettuce from Traders Hill Farm hydroponic-grown tomatoes from Waterkist Farms lacinato kale from Satur Farms and hydroponic-grown butterhead lettuce from Bacon’s Select Produce. ,Yes,NA
University of Georgia,1343987000,823,3,36880.75,18.07,0.28,12707.05,0.18,28.08,52.9,NA,5.72,NA,Mid-size city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
University of Houston,654290057,891.8,2,36795.75,7.76,10.31,11649.59,0.12,16.45,15.04,0,5.58,NA,Large city,To promote meatless Mondays both dining halls offer sustainable sourced fished dishes. ,Yes,NA
University of Idaho,6682883.33,810,4,8386.18,9.36,60.54,16775.62,0.16,37.59,27.8,NA,1.99,NA,Small town,,No,NA
University of Kentucky,1.28E+09,800,4,32963.25,3.16,0.01,16720.23,0.47,27.75,53.84,15.86,13.44,NA,Large city,We focus on incorporating Plant-Forward menus. ,No,NA
University of Louisiana at Lafayette,132883603,1198.5,2,11191.5,37.89,1.45,11720.99,0.12,23.73,14.97,NA,2.63,NA,Mid-size city,National days like Vegetarian Day Vegan Day Guacamole Day etc. are celebrated and the Dining Services social media account posts daily about what is available at the Vegetarian Action Station.,NA,NA
University of Louisville,796900000,711,4,20254.25,5.86,4.27,10425.66,0.22,55.19,10.88,6.9,6.4,NA,Large city,Low impact dining is promoted on campus through events such as 'Behind the Plate' where students are asked to think about the carbon footprint water use and transport costs behind the products they eat. We also host Meatless Mondays and use 'Plant Forward' icons on menu items which are plant-based and low impact.,Yes,NA
University of Maine,4.99E+08,736.1,6,9491,7.49,NA,1831.45,0.27,48.34,25.09,NA,4.53,NA,Small town,UMaine hosts at least two zero-waste events each year on New Student Orientation and Maine Day.,Yes,NA
University of Maryland Baltimore County,105200000,512,4,12929.7,3.28,21.62,5709.18,0.14,40.18,8.08,NA,4.7,NA,Urban fringe of large city,UMBC Dining offers Plant-forward menus. The production and consumption of animal-based foods are another leading cause of rising greenhouse gas emissions so to combat this one we have reduced our red meat offerings and now provide plenty of plant-based protein alternatives. Animal agriculture is responsible for about 18% of worldwide greenhouse gas emissions and uses over a third of all raw materials and fossil fuels in the United States. Decreasing consumption of foods produced through animal agriculture and replacing them with plant-based foods can help reduce the harm done to our planet.,NA,NA
University of Maryland College Park,419068000,5210,4,37473.58,7.17,18.15,15.1,0.27,59.8,18.94,8.56,NA,NA,Urban fringe of large city,,NA,NA
University of Massachusetts Amherst,3.63E+08,1535,5,27479.5,10.13,0.01,9898.29,0.27,55.98,28.04,16.27,4.6,40.58,Large town,"Everyday UMass Dining provides several menu options in each of our dining commons that are vegetarian vegan and plant based and sustainable (organic fair trade humanely raised and have a \short supply chain\"".Over the past 5 years UMass Dining has hosted numerous high profile sustainability food events open to students faculty and the community.  Some of these events include:-Annual Diet for a Cooler Planet Event for the last 2 years. This event focuses on food as a means for climate action. Food solutions from the Drawdown Project are the backdrop of the menu design educational materials engagement strategy and presentation during the event. Dining staff and student ambassadors are trained in the engagement strategy and how the menu connects to the climate action food solutions.-Local UMass Event celebrates our local partnerships with regional farmers- Atlantic Seaweed Event featured sustainable seaweed producers from Maine who educated students staff and faculty about the regenerative and nutritional properties of seaweed.  -Annual Chef Conference involving 65 dining programs nationwide and impacting over 750000 students and consumers through the food they prepare.  This conference features sustainability themed keynote speakers that include topics like farm to institution the future of food and waste reduction.""",NA,"
      
      
        









  
    $10 million or more
  





  
  

  

  


      
    "
University of Massachusetts Dartmouth,8.72E+08,710,4,6365.75,6.59,NA,4627.86,0.28,17.52,11.44,11,4.54,9,Urban fringe of mid-size city,Used in conjunction with trayless dining this program held once a semester helps reduce food waste in our resident dining halls and create awareness among students. Food waste is monitored at the disposal area and an estimate of wasted goods are recorded and posted in the servery showing students week-by-week results. The posted results educate students about how much wasted food is thrown out on a daily basis which could be prevented.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
University of Massachusetts Lowell,84800000,137.75,5,10262,19.09,0,,0.14,45.74,26.95,6.7,2.87,NA,Mid-size city,Dining Services offers events such as Meatless Mondays in select locations on campus. It is not offered in all locations but is available for students who make the choice.,Yes,NA
University of Massachusetts Medical School Worcester,2.10E+08,61.39,5,7829,13.04,0,24996.71,0.46,26.02,15.45,13,NA,NA,Mid-size city,,NA,NA
University of Miami,948600000,389,1,19937.5,31.25,0.04,20711.48,0.29,34.6,16.49,NA,5.49,NA,Large city,Provide Vegan foods for the community during Food Day and Earth Day events.,Yes,NA
University of Michigan Ann Arbor,1.09E+10,3263,5,66741.36,11.74,0.5,19231.63,0.29,34.1,13.54,NA,NA,NA,Mid-size city,,NA,NA
University of Minnesota Duluth,1.61E+08,244,7,9816.25,12.78,0.01,6783.09,0.13,45.1,28.67,1.47,NA,NA,Urban fringe of mid-size city,,NA,NA
University of Minnesota Morris,14.6,165,6,1790.28,22.76,28.21,10103.23,0.19,48.66,17.67,NA,NA,NA,Small town,,NA,NA
University of Mississippi,7.15E+08,1884.45,3,20243.72,6.75,NA,16469.31,0.15,4.43,10.54,NA,7.58,NA,Large town,In 2017 the Office of Sustainability partnered with Ole Miss Dining services for a Mostly Meatless Monday event at the Rebel Market. Rebel Market offered vegetarian and vegan lunch options as well as an information table highlighting the environmental benefits of incorporating more plant-based meals into one’s diet vegan and vegetarian recipes and an activity table where students faculty and staff could plant an herb and take it home.,Yes,NA
University of Missouri Columbia,842343000,1262,4,29551.63,22.7,60.98,8925.65,0.28,23.61,71.72,NA,NA,NA,Large town,,NA,NA
University of Montevallo,4.00E+07,160,3,2333.5,7.16,0,6785.52,0.09,28.09,8.63,NA,7.58,NA,Small town,Yes we have a constant rotation of low impact dining events including meatless menus farm-to-table events and superfood spotlights,Yes,NA
University of Mount Union,139700000,123,5,2271,8.85,10.39,7282.89,0.29,32.57,20,NA,5.97,NA,Small town,,No,NA
University of Nebraska at Omaha,60820264.06,695.71,5,11139,13.3,5.34,9256.96,0.13,30.59,25,NA,4.62,NA,Large city,,No,NA
University of New Hampshire at Manchester,235800000,2600,5,11996,19.29,NA,7710.39,0.19,47.94,34.87,8.36,NA,NA,Small town,,NA,NA
University of New Haven,1.30E+08,76,3,5868.5,5.44,0.14,6358.99,0.27,9.98,21.78,NA,2.17,NA,Urban fringe of mid-size city,,No,NA
University of North Carolina at Chapel Hill,3641700000,4247,4,33536.25,22.77,0.01,13809.68,0.31,42.13,25.33,20.18,9.38,33.95,Urban fringe of mid-size city,Low impact dining events such as  Meatless Mondays are offered in both residential dining halls - Top of Lenoir and Chase. On Meatless Mondays the Vegetarian Station becomes vegan and the following stations become vegetarian: World’s Fare Sushi Wrap and Pasta. Garden or Black Bean Burgers are available at the Grill everyday and 3 of 4 pizzas are vegetarian. All stations serve no or reduced meat.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
University of North Georgia,64055393,731.92,4,12850.25,3.09,NA,3940.92,,NA,16.67,0,5.29,0,Urban fringe of mid-size city,There are several options that are meatless or promoting meatless entrees. Per Contract:5.2  Top Recommendations: ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
University of Oregon,9.40E+08,615,4,21399.25,15.64,36.1,11981.77,0.17,55.72,18.38,3.8,1.13,42,Mid-size city,UO Dining promotes Low Carbon menus through identifying Low Carbon Impact menu items on posted menus. UO Dining hold an annual Low Carbon Footprint week throughout residential dining venues to promote and feature plant-forward dining options.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
University of Pittsburgh Medical Center Shadyside School of Nursing,4342563000,145,5,31684.45,5,NA,9702.9,0.13,40.96,10.33,10,NA,NA,Large city,,NA,NA
University of Richmond,2511584000,322.5,4,4704,10.72,5.28,16833.98,0.39,35.09,28.32,2.66,4.63,NA,Urban fringe of mid-size city,Tyler’s Grill one of the on campus food retailers has a meatless monday special every week encouraging reduction of meat consumption on campus by offering a delicious vegetarian option every week. Passport Cafe's weekly special is always vegan or vegetarian focusing primarily on international cuisine. On Tuesdays and Thursdays in the dining hall the University’s main dining facility serving all three meals a day blended burgers (sixty percent beef to forty percent mushroom) are served in place of regular beef hamburgers. (The University is looking into completely switching all hamburger/cheeseburger options to blended burgers.),Yes,NA
University of Rochester,2.47E+09,682.89,5,24657.13,3.19,1.3,16201.96,0.47,25.71,18.75,10.9,0,NA,Mid-size city,We have hosted vegan meals. Recently hosted a water footprint dinner and a zero waste dinner. ,Yes,NA
University of San Diego,5.46E+08,180,3,8215.28,19.33,4.82,10858.64,0.27,37.19,34.15,2.95,1.28,17.94,Large city,Every Monday Dining Services offers a Meatless Monday entree featured at the largest campus dining facility (Pavilion Dining) at the live-action cooking station. Every spring Dining hosts a plant-based event where only vegan and vegetarian options are offered at all micro-restaurants within Pavilion Dining during dinner. Each large scale bi-annual food festival has a zero-waste component in partnership with the university's Office of Sustainability.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
University of Southern California,5.54E+09,226,1,41209.25,6.13,0.01,8982,0.51,29.37,3.57,38.84,2.54,30.22,Large city,"All dining halls serve plant based options including entrees sides salads and soups. The USC Village dining hall is the primary dining facility for 2500 students and has a dedicated vegan-friendly 100% plant based dining station as well as USC’s first \flexitarian station\"" (semi vegetarian where protein is an accent not the focus).""",NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
University of St Thomas,586525642,84,6,8192.9,11.49,NA,5244.46,0.14,58.78,29.2,0,NA,NA,Large city,,NA,NA
University of the Pacific,463312942,175,3,7350,3.35,0,7198.91,0.32,30.84,6.68,7,5.29,77,Large city,Once a month the Bon Appetit chef holds an info session called Food for Your Well Being for the students in the Marketplace. The chef speaks with students about nutrition and provides healthy recipes and samples for the students. Bon Appetit also encourages students to use reusable boxes plates and service ware instead of single use items such as paper boxes.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
University of Utah,1051841092,1534,5,40349.5,8.49,10.58,23383.29,0.12,30.83,13.52,14.6,4.31,30,Mid-size city,"The primary dining service hosts “Love Food Not Waste\ an annual educational event in the Heritage Center that promotes reducing food waste in the dining halls. Catering events hosted by the dining service use reusable dishes. The Feed U Pantry the food pantry located on campus partners with dining services to host monthly cooking demo events that highlight vegetarian meals made from items most frequently found in the pantry. The Heritage Center also does monthly cooking demos called \""Teaching Kitchen.\"" Those demos are plant-forward and low-impact using the reusable dishes at the dining hall.""",NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
University of Vermont,538906000,4315,6,13824.75,19.71,25.72,8622.8,0.18,50.61,12.5,25.72,3.6,32.36,Mid-size city,Each semester UVM Dining serves entrees at every dining location for every meal period that use primarily Real Food Challenge approved ingredients. These “Real Meals” are served at all 17 dining locations for Earth Day each year.Many dining locations offer Meatless Monday specials (in addition to the regularly available vegan and vegetarian items).,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
University of Washington Seattle Campus,3.38E+09,792,4,66298.25,28.52,1.79,7528.27,0.18,60.93,17.6,31.5,NA,NA,Large city,,NA,NA
University of West Georgia,27919873,673,2,9691,10.77,NA,5646.22,0.23,16.07,7.82,NA,2.6,NA,Large town,,No,NA
University of Wyoming,476274236,15704,6,9483.53,2.46,0.04,,0.15,19.63,4.58,NA,13.15,NA,Large town,,No,NA
Utah State University,358965147,875.2,6,14974.25,5.03,0.71,10120.84,0.17,21.15,26.3,NA,4.51,NA,Mid-size city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
Vassar College,1.00E+09,1000,5,3208.33,46.96,NA,,0.54,18.88,24.64,NA,4.41,NA,Urban fringe of mid-size city,Yes we host a number of low impact dining events including Earth Week and an Annual Farmworker Awareness Week.,NA,NA
Villanova University,640428000,265,4,9551.75,4.78,0,12943.68,0.25,29.62,22.06,7.6,4.52,NA,Urban fringe of large city,,No,NA
Virginia Commonwealth University,1.64E+09,157.6,4,27529.5,5.66,0.42,11019.6,0.22,49.85,11.66,2,4.37,NA,Mid-size city,,No,NA
